topic,category,baseline,T4,delta,driver_family
functional connectivity,measurement,0.108,0.239,0.131,
EEG,measurement,0.191,0.311,0.12,
network neuroscience,inference,0.045,0.153,0.108,predictive_connectomics
resting-state fMRI,measurement,0.072,0.156,0.084,
attention,phenotype,0.053,0.134,0.082,
deep learning,inference,0.002,0.081,0.08,ai_ml
prediction,inference,0.013,0.086,0.074,ai_ml
machine learning,inference,0.069,0.12,0.052,ai_ml
executive function,phenotype,0.038,0.086,0.048,
biomarker,inference,0.005,0.049,0.044,transdiagnostic_clinical
classification,inference,0.021,0.063,0.042,ai_ml
structural MRI,measurement,0.009,0.05,0.04,
MRS,measurement,0.03,0.07,0.04,
default mode network,organization,0.034,0.074,0.04,
frontoparietal network,organization,0.005,0.043,0.038,
sleep,phenotype,0.014,0.052,0.037,
emotion,phenotype,0.015,0.048,0.033,
aging,phenotype,0.046,0.079,0.033,
salience network,organization,0.007,0.037,0.03,
alzheimer disease,phenotype,0.04,0.07,0.03,
motor control,phenotype,0.006,0.035,0.03,
convolutional neural network,inference,0.001,0.03,0.029,ai_ml
perception,phenotype,0.163,0.192,0.029,
thalamus,organization,0.024,0.052,0.028,
social cognition,phenotype,0.011,0.038,0.027,
cerebellum,organization,0.017,0.044,0.027,
sensorimotor network,organization,0.006,0.032,0.026,
brain atlas,organization,0.023,0.048,0.026,
major depression,phenotype,0.012,0.037,0.024,transdiagnostic_clinical
human connectome project,inference,0.015,0.038,0.023,big_data_cohorts
quantitative MRI,measurement,0.01,0.033,0.023,
external validation,inference,0.003,0.025,0.023,ai_ml
hubs,organization,0.001,0.022,0.021,predictive_connectomics
graph theory,inference,0.013,0.033,0.02,predictive_connectomics
cortical parcellation,organization,0.013,0.031,0.018,
structural connectivity,organization,0.008,0.025,0.018,
susceptibility weighted imaging,measurement,0.003,0.02,0.017,
hippocampus,organization,0.045,0.062,0.017,
explainability,inference,0.002,0.019,0.017,ai_ml
gray matter volume,organization,0.006,0.023,0.017,
working memory,phenotype,0.032,0.048,0.017,
white matter,organization,0.102,0.117,0.015,
autism,phenotype,0.009,0.024,0.014,
task fMRI,measurement,0.002,0.016,0.014,
pain,phenotype,0.016,0.029,0.014,
stroke,phenotype,0.01,0.024,0.013,
parkinson disease,phenotype,0.015,0.028,0.013,
dynamic functional connectivity,inference,0.009,0.021,0.012,predictive_connectomics
tractography,organization,0.027,0.039,0.011,
multimodal imaging,measurement,0.007,0.018,0.011,
segmentation,organization,0.028,0.039,0.011,
quality control,inference,0.006,0.016,0.01,open_science_repro
treatment response,inference,0.006,0.016,0.01,transdiagnostic_clinical
neurodevelopment,phenotype,0.001,0.011,0.01,
diffusion MRI,measurement,0.098,0.108,0.009,
brain age,phenotype,0.0,0.01,0.009,ai_ml
site effects,inference,0.003,0.012,0.009,big_data_cohorts
harmonization,inference,0.001,0.01,0.009,big_data_cohorts
structure-function coupling,organization,0.001,0.01,0.009,predictive_connectomics
abcd study,inference,0.0,0.008,0.008,big_data_cohorts
modularity,organization,0.004,0.012,0.008,predictive_connectomics
cortical thickness,organization,0.012,0.02,0.008,
mild cognitive impairment,phenotype,0.009,0.016,0.007,
graph neural network,inference,0.0,0.007,0.007,ai_ml
reward,phenotype,0.022,0.029,0.007,
bipolar disorder,phenotype,0.004,0.01,0.007,transdiagnostic_clinical
connectome-based predictive modeling,inference,0.0,0.006,0.006,predictive_connectomics
MEG,measurement,0.055,0.061,0.006,
surface reconstruction,organization,0.006,0.012,0.006,
multiple comparisons,inference,0.005,0.011,0.006,
sample size,inference,0.004,0.009,0.005,big_data_cohorts
arterial spin labeling,measurement,0.023,0.027,0.005,
transdiagnostic,phenotype,0.0,0.005,0.005,transdiagnostic_clinical
uk biobank,inference,0.001,0.005,0.004,big_data_cohorts
normative modeling,inference,0.0,0.004,0.004,ai_ml;transdiagnostic_clinical
surface area,organization,0.002,0.006,0.004,
adhd,phenotype,0.004,0.007,0.003,
effect size,inference,0.0,0.003,0.002,
traumatic brain injury,phenotype,0.005,0.007,0.002,
brain tumor,phenotype,0.002,0.003,0.002,
statistical power,inference,0.004,0.006,0.002,open_science_repro
registration,organization,0.013,0.014,0.001,
precision functional mapping,inference,0.0,0.001,0.001,predictive_connectomics
general linear model,inference,0.006,0.007,0.001,
voxel-based morphometry,organization,0.017,0.018,0.001,
high field MRI,measurement,0.001,0.002,0.001,
head motion,inference,0.005,0.006,0.001,open_science_repro
brain-wide association,inference,0.0,0.001,0.001,big_data_cohorts
openneuro,inference,0.0,0.001,0.001,open_science_repro
individualized parcellation,inference,0.0,0.001,0.0,predictive_connectomics
subcortical volume,organization,0.0,0.001,0.0,
fractional anisotropy,organization,0.039,0.039,0.0,
fmriprep,inference,0.0,0.0,0.0,open_science_repro
preregistration,inference,0.0,0.0,0.0,open_science_repro
PET,measurement,0.043,0.043,-0.0,
cluster inference,inference,0.0,0.0,-0.0,
neurovault,inference,0.0,0.0,-0.0,open_science_repro
bids,inference,0.0,0.0,-0.0,open_science_repro
enigma,inference,0.0,0.0,-0.0,big_data_cohorts
imaging genetics,inference,0.008,0.007,-0.001,big_data_cohorts
episodic memory,phenotype,0.016,0.015,-0.001,
data sharing,inference,0.003,0.001,-0.001,open_science_repro
multiple sclerosis,phenotype,0.012,0.01,-0.002,
independent component analysis,inference,0.023,0.02,-0.002,
statistical parametric mapping,inference,0.009,0.006,-0.003,
epilepsy,phenotype,0.041,0.036,-0.005,
language,phenotype,0.108,0.101,-0.007,
schizophrenia,phenotype,0.024,0.016,-0.008,transdiagnostic_clinical
visual cortex,organization,0.058,0.045,-0.014,
psychiatric disorders,phenotype,0.085,0.071,-0.014,transdiagnostic_clinical
reproducibility,inference,0.1,0.071,-0.029,open_science_repro
